Name,Symbol
HEC Infra Projects Limited,HECPROJECT
HEG Limited,HEG
HeidelbergCement India Limited,HEIDELBERG
Heranba Industries Limited,HERANBA
Hercules Hoists Limited,HERCULES
Heritage Foods Limited,HERITGFOOD
Hero MotoCorp Limited,HEROMOTOCO
Hester Biosciences Limited,HESTERBIO
Hexa Tradex Limited,HEXATRADEX
Hexaware Technologies Limited,HEXAWARE
HFCL Limited,HFCL
Hikal Limited,HIKAL
HIL Limited,HIL
Hilton Metal Forging Limited,HILTON
Himadri Speciality Chemical Limited,HSCL
Himatsingka Seide Limited,HIMATSEIDE
Hind Rectifiers Limited,HIRECT
Hindalco Industries Limited,HINDALCO
Hindcon Chemicals Limited,HINDCON
Hindprakash Industries Limited,HPIL
Hinduja Global Solutions Limited,HGS
Hindustan Aeronautics Limited,HAL
Hindustan Composites Limited,HINDCOMPOS
Hindustan Construction Company Limited,HCC
Hindustan Copper Limited,HINDCOPPER
Hindustan Media Ventures Limited,HMVL
Hindustan Motors Limited,HINDMOTORS
Hindustan Oil Exploration Company Limited,HINDOILEXP
Hindustan Petroleum Corporation Limited,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR
Hindustan Zinc Limited,HINDZINC
Hindustan National Glass & Industries Limited,HINDNATGLS
Hisar Metal Industries Limited,HISARMETAL
Hitech Corporation Limited,HITECHCORP
Hi-Tech Pipes Limited,HITECH
HLV Limited,HLVLTD
HMT Limited,HMT
Honda Siel Power Products Limited,HONDAPOWER
Honeywell Automation India Limited,HONAUT
Hotel Rugby Limited,HOTELRUGBY
Housing & Urban Development Corporation Limited,HUDCO
Housing Development and Infrastructure Limited,HDIL
Housing Development Finance Corporation Limited,HDFC
HOV Services Limited,HOVS
HPL Electric & Power Limited,HPL
HSIL Limited,HSIL
HT Media Limited,HTMEDIA
Hubtown Limited,HUBTOWN
Huhtamaki PPL Limited,PAPERPROD
Husys Consulting Limited,HUSYSLTD
Ice Make Refrigeration Limited,ICEMAKE
ICICI Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Limited,ICICIGI
ICICI Prudential Life Insurance Company Limited,ICICIPRULI
ICICI Securities Limited,ISEC
ICRA Limited,ICRA
IDBI Bank Limited,IDBI
IDFC First Bank Limited,IDFCFIRSTB
IDFC Limited,IDFC
IFB Agro Industries Limited,IFBAGRO
IFB Industries Limited,IFBIND
IFCI Limited,IFCI
IFGL Refractories Limited,IFGLEXPOR
IG Petrochemicals Limited,IGPL
Igarashi Motors India Limited,IGARASHI
IIFL Finance Limited,IIFL
IIFL Securities Limited,IIFLSEC
IIFL Wealth Management Limited,IIFLWAM
IL&FS Engineering and Construction Company Limited,IL&FSENGG
IL&FS Investment Managers Limited,IVC
IL&FS Transportation Networks Limited,IL&FSTRANS
IMP Powers Limited,INDLMETER
Impex Ferro Tech Limited,IMPEXFERRO
Indbank Merchant Banking Services Limited,INDBANK
India Glycols Limited,INDIAGLYCO
India Motor Parts and Accessories Limited,IMPAL
India Nippon Electricals Limited,INDNIPPON
India Tourism Development Corporation Limited,ITDC
Indiabulls Housing Finance Limited,IBULHSGFIN
Indiabulls Integrated Services Limited,IBULISL
Indiabulls Real Estate Limited,IBREALEST
Indiabulls Ventures Limited,IBVENTURES
Indiamart Intermesh Limited,INDIAMART
Indian Bank,INDIANB
Indian Card Clothing Company Limited,INDIANCARD
Indian Energy Exchange Limited,IEX
Indian Hume Pipe Company Limited,INDIANHUME
Indian Metals & Ferro Alloys Limited,IMFA
Indian Oil Corporation Limited,IOC
Indian Overseas Bank,IOB
Indian Railway Catering and Tourism Corporation Limited,IRCTC
Indian Terrain Fashions Limited,INDTERRAIN
Indo Count Industries Limited,ICIL
Indo Rama Synthetics (India) Limited,INDORAMA
Indo Tech Transformers Limited,INDOTECH
Indo Thai Securities Limited,INDOTHAI
Indoco Remedies Limited,INDOCO
Indo-National Limited,NIPPOBATRY
Indosolar Limited,INDOSOLAR
IndoStar Capital Finance Limited,INDOSTAR
Indowind Energy Limited,INDOWIND
Indraprastha Gas Limited,IGL
Indraprastha Medical Corporation Limited,INDRAMEDCO
Ind-Swift Laboratories Limited,INDSWFTLAB
Ind-Swift Limited,INDSWFTLTD
IndusInd Bank Limited,INDUSINDBK
Industrial Investment Trust Limited,IITL
INEOS Styrolution India Limited,INEOSSTYRO
Infibeam Avenues Limited,INFIBEAM
Info Edge (India) Limited,NAUKRI
InfoBeans Technologies Limited,INFOBEAN
Infomedia Press Limited,INFOMEDIA
Infosys Limited,INFY
Ingersoll Rand (India) Limited,INGERRAND
Innovana Thinklabs Limited,INNOVANA
Innovative Tyres and Tubes Limited,INNOVATIVE
INOX Leisure Limited,INOXLEISUR
Inox Wind Limited,INOXWIND
Insecticides (India) Limited,INSECTICID
Inspirisys Solutions Limited,INSPIRISYS
Integra Garments and Textiles Limited,INTEGRA
Intellect Design Arena Limited,INTELLECT
Intense Technologies Limited,INTENTECH
InterGlobe Aviation Limited,INDIGO
International Constructions Limited,SUBCAPCITY
Intrasoft Technologies Limited,ISFT
Inventure Growth & Securities Limited,INVENTURE
IOL Chemicals and Pharmaceuticals Limited,IOLCP
IPCA Laboratories Limited,IPCALAB
IRB Infrastructure Developers Limited,IRB
Ircon International Limited,IRCON
Iris Clothings Limited,IRISDOREME
ISMT Limited,ISMTLTD
ITC Limited,ITC
ITD Cementation India Limited,ITDCEM
ITI Limited,ITI
IVP Limited,IVP
IZMO Limited,IZMO
J.Kumar Infraprojects Limited,JKIL
Jagran Prakashan Limited,JAGRAN
Jagsonpal Pharmaceuticals Limited,JAGSNPHARM
Jai Balaji Industries Limited,JAIBALAJI
Jai Corp Limited,JAICORPLTD
Jaihind Projects Limited,JAIHINDPRO
Jain Irrigation Systems Limited,JISLJALEQS
Jain Studios Limited,JAINSTUDIO
Jaiprakash Associates Limited,JPASSOCIAT
Jaiprakash Power Ventures Limited,JPPOWER
Jakharia Fabric Limited,JAKHARIA
Jalan Transolutions (India) Limited,JALAN
Jamna Auto Industries Limited,JAMNAAUTO
Jash Engineering Limited,JASH
Jay Bharat Maruti Limited,JAYBARMARU
Jayant Agro Organics Limited,JAYAGROGN
Jayaswal Neco Industries Limited,JAYNECOIND
Jaypee Infratech Limited,JPINFRATEC
Jayshree Tea & Industries Limited,JAYSREETEA
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM
JBF Industries Limited,JBFIND
JBM Auto Limited,JBMA
Jet Airways (India) Limited,JETAIRWAYS
Jet Freight Logistics Limited,JETFREIGHT
Jet Knitwears Limited,JETKNIT
JHS Svendgaard Laboratories Limited,JHS
JIK Industries Limited,JIKIND
Jindal Drilling And Industries Limited,JINDRILL
Jindal Photo Limited,JINDALPHOT
Jindal Poly Films Limited,JINDALPOLY
Jindal Poly Investment and Finance Company Limited,JPOLYINVST
Jindal Saw Limited,JINDALSAW
Jindal Stainless (Hisar) Limited,JSLHISAR
Jindal Stainless Limited,JSL
Jindal Steel & Power Limited,JINDALSTEL
Jindal Worldwide Limited,JINDWORLD
JITF Infralogistics Limited,JITFINFRA
JK Cement Limited,JKCEMENT
JK Lakshmi Cement Limited,JKLAKSHMI
JK Paper Limited,JKPAPER
JK Tyre & Industries Limited,JKTYRE
JM Financial Limited,JMFINANCIL
JMC Projects (India) Limited,JMCPROJECT
JMT Auto Limited,JMTAUTOLTD
Jocil Limited,JOCIL
Johnson Controls – Hitachi Air Conditioning India Limited,JCHAC
JSW Energy Limited,JSWENERGY
JSW Holdings Limited,JSWHL
JSW Steel Limited,JSWSTEEL
Jtekt India Limited,JTEKTINDIA
Jubilant Foodworks Limited,JUBLFOOD
Jubilant Industries Limited,JUBLINDS
Jubilant Life Sciences Limited,JUBILANT
Jullundur Motor Agency (Delhi) Limited,JMA
Just Dial Limited,JUSTDIAL
JVL Agro Industries Limited,JVLAGRO
Jyothy Labs Limited,JYOTHYLAB
Jyoti Structures Limited,JYOTISTRUC
K.M.Sugar Mills Limited,KMSUGAR
K.P.R. Mill Limited,KPRMILL
Kabra Extrusion Technik Limited,KABRAEXTRU
Kajaria Ceramics Limited,KAJARIACER
Kakatiya Cement Sugar & Industries Limited,KAKATCEM
Kalpataru Power Transmission Limited,KALPATPOWR
Kalyani Commercials Limited,KALYANI
Kalyani Forge Limited,KALYANIFRG
Kalyani Investment Company Limited,KICL
Kalyani Steels Limited,KSL
Kamat Hotels (I) Limited,KAMATHOTEL
Kamdhenu Limited,KAMDHENU
Kanani Industries Limited,KANANIIND
Kanoria Chemicals & Industries Limited,KANORICHEM
Kansai Nerolac Paints Limited,KANSAINER
Kapston Facilities Management Limited,KAPSTON
Karda Constructions Limited,KARDA
Karma Energy Limited,KARMAENG
Karur Vysya Bank Limited,KARURVYSYA
Karuturi Global Limited,KGL
Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA
Kaveri Seed Company Limited,KSCL
Kaya Limited,KAYA
KCP Limited,KCP
KCP Sugar and Industries Corporation Limited,KCPSUGIND
KDDL Limited,KDDL
KEC International Limited,KEC
Keerti Knowledge and Skills Limited,KEERTI
KEI Industries Limited,KEI
Kellton Tech Solutions Limited,KELLTONTEC
Kernex Microsystems (India) Limited,KERNEX
Kesoram Industries Limited,KESORAMIND
Kewal Kiran Clothing Limited,KKCL
Keynote Financial Services Limited,KEYFINSERV
Khadim India Limited,KHADIM
Khandwala Securities Limited,KHANDSE
Khfm Hospitality And Facility Management Services Limited,KHFM
Kilitch Drugs (India) Limited,KILITCH
Kingfa Science & Technology (India) Limited,KINGFA
KIOCL Limited,KIOCL
Kiri Industries Limited,KIRIINDUS
Kirloskar Brothers Limited,KIRLOSBROS
Kirloskar Electric Company Limited,KECL
Kirloskar Industries Limited,KIRLOSIND
Kirloskar Oil Engines Limited,KIRLOSENG
Kitex Garments Limited,KITEX
KKV Agro Powers Limited,KKVAPOW
KNR Constructions Limited,KNRCON
Kohinoor Foods Limited,KOHINOOR
Kokuyo Camlin Limited,KOKUYOCMLN
Kolte – Patil Developers Limited,KOLTEPATIL
Kopran Limited,KOPRAN
Kotak Mahindra Bank Limited,KOTAKBANK
Kothari Petrochemicals Limited,KOTHARIPET
Kothari Products Limited,KOTHARIPRO
Kothari Sugars And Chemicals Limited,KOTARISUG
KPIT Technologies Limited,KPITTECH
KRBL Limited,KRBL
Krebs Biochemicals and Industries Limited,KREBSBIO
Kridhan Infra Limited,KRIDHANINF
Krishana Phoschem Limited,KRISHANA
Kritika Wires Limited,KRITIKA
Ksb Limited,KSB
Kshitij Polyline Limited,KSHITIJPOL
KSK Energy Ventures Limited,KSK
KSS Limited,KSERASERA
Kuantum Papers Limited,KUANTUM
Kwality Limited,KWALITY
L&T Finance Holdings Limited,L&TFH
L&T Technology Services Limited,LTTS
La Opala RG Limited,LAOPALA
Lagnam Spintex Limited,LAGNAM
Lakshmi Finance & Industrial Corporation Limited,LFIC
Lakshmi Machine Works Limited,LAXMIMACH
Lakshmi Precision Screws Limited,LAKPRE
Lakshmi Vilas Bank Limited,LAKSHVILAS
Lambodhara Textiles Limited,LAMBODHARA
Landmark Property Development Company Limited,LPDC
Larsen & Toubro Infotech Limited,LTI
Larsen & Toubro Limited,LT
Lasa Supergenerics Limited,LASA
Latteys Industries Limited,LATTEYS
Laurus Labs Limited,LAURUSLABS
Laxmi Cotspin Limited,LAXMICOT
Lemon Tree Hotels Limited,LEMONTREE
Lexus Granito (India) Limited,LEXUS
LG Balakrishnan & Bros Limited,LGBBROSLTD
LGB Forge Limited,LGBFORGE
Libas Designs Limited,LIBAS
Liberty Shoes Limited,LIBERTSHOE
LIC Housing Finance Limited,LICHSGFIN
Likhitha Infrastructure Limited,LIKHITHA
Linc Pen & Plastics Limited,LINCPEN
Lincoln Pharmaceuticals Limited,LINCOLN
Linde India Limited,LINDEINDIA
Lloyds Steels Industries Limited,LSIL
Lokesh Machines Limited,LOKESHMACH
Lotus Eye Hospital and Institute Limited,LOTUSEYE
Lovable Lingerie Limited,LOVABLE
LT Foods Limited,DAAWAT
Lumax Auto Technologies Limited,LUMAXTECH
Lumax Industries Limited,LUMAXIND
Lupin Limited,LUPIN
Lux Industries Limited,LUXIND
Lyka Labs Limited,LYKALABS
Lypsa Gems & Jewellery Limited,LYPSAGEMS
M K Proteins Limited,MKPL
M.R. Organisation Limited,MRO
Maan Aluminium Limited,MAANALU
Macpower CNC Machines Limited,MACPOWER
Madhav Copper Limited,MCL
Madhav Marbles and Granites Limited,MADHAV
Madhucon Projects Limited,MADHUCON
Madhya Bharat Agro Products Limited,MBAPL
Madhya Pradesh Today Media Limited,MPTODAY
Madras Fertilizers Limited,MADRASFERT
Magadh Sugar & Energy Limited,MAGADSUGAR
Magma Fincorp Limited,MAGMA
Magnum Ventures Limited,MAGNUM
Maha Rashtra Apex Corporation Limited,MAHAPEXLTD
Mahamaya Steel Industries Limited,MAHASTEEL
Mahanagar Gas Limited,MGL
Mahanagar Telephone Nigam Limited,MTNL
Maharashtra Scooters Limited,MAHSCOOTER
Maharashtra Seamless Limited,MAHSEAMLES
Maheshwari Logistics Limited,MAHESHWARI
Mahickra Chemicals Limited,MAHICKRA
Mahindra & Mahindra Financial Services Limited,M&MFIN
Mahindra & Mahindra Limited,M&M
Mahindra CIE Automotive Limited,MAHINDCIE
Mahindra EPC Irrigation Limited,MAHEPC
Mahindra Holidays & Resorts India Limited,MHRIL
Mahindra Lifespace Developers Limited,MAHLIFE
Mahindra Logistics Limited,MAHLOG
Maithan Alloys Limited,MAITHANALL
Majesco Limited,MAJESCO
Malu Paper Mills Limited,MALUPAPER
Man Industries (India) Limited,MANINDS
Man Infraconstruction Limited,MANINFRA
Manaksia Aluminium Company Limited,MANAKALUCO
Manaksia Coated Metals & Industries Limited,MANAKCOAT
Manaksia Limited,MANAKSIA
Manaksia Steels Limited,MANAKSTEEL
Manali Petrochemicals Limited,MANALIPETC
Manappuram Finance Limited,MANAPPURAM
Manav Infra Projects Limited,MANAV
Mangalam Cement Limited,MANGLMCEM
Mangalam Drugs And Organics Limited,MANGALAM
Mangalam Global Enterprise Limited,MGEL
Mangalam Timber Products Limited,MANGTIMBER
Mangalore Chemicals & Fertilizers Limited,MANGCHEFER
Mangalore Refinery and Petrochemicals Limited,MRPL
Manugraph India Limited,MANUGRAPH
Maral Overseas Limited,MARALOVER
Marathon Nextgen Realty Limited,MARATHON
Marico Limited,MARICO
Marine Electricals (India) Limited,MARINE
Marksans Pharma Limited,MARKSANS
Marshall Machines Limited,MARSHALL
Maruti Suzuki India Limited,MARUTI
Marvel Decor Limited,MDL
MAS Financial Services Limited,MASFIN
Mask Investments Limited,MASKINVEST
Mastek Limited,MASTEK
Matrimony.com Limited,MATRIMONY
Mawana Sugars Limited,MAWANASUG
Max Financial Services Limited,MFSL
Max Healthcare Institute Limited,MAXHEALTH
Max India Limited,MAXINDIA
Max Ventures and Industries Limited,MAXVIL
Mayur Uniquoters Ltd,MAYURUNIQ
Mazagon Dock Shipbuilders Limited,MAZDOCK
Mazda Limited,MAZDA
MBL Infrastructures Limited,MBLINFRA
McDowell Holdings Limited,MCDHOLDING
Mcleod Russel India Limited,MCLEODRUSS
Mcnally Bharat Engineering Company Limited,MBECL
Megasoft Limited,MEGASOFT
Meghmani Organics Limited,MEGH
Melstar Information Technologies Limited,MELSTAR
Menon Bearings Limited,MENONBE
MEP Infrastructure Developers Limited,MEP
Mercator Limited,MERCATOR
Metalyst Forgings Limited,METALFORGE
Metkore Alloys & Industries Limited,METKORE
Metropolis Healthcare Limited,METROPOLIS
MIC Electronics Limited,MIC
MIG Media Neurons Limited,MMNL
Milton Industries Limited,MILTON
Minda Corporation Limited,MINDACORP
Minda Industries Limited,MINDAIND
Mindpool Technologies Limited,MINDPOOL
Mindteck (India) Limited,MINDTECK
MindTree Limited,MINDTREE
MIRC Electronics Limited,MIRCELECTR
Mirza International Limited,MIRZAINT
Mishra Dhatu Nigam Limited,MIDHANI
MITCON Consultancy & Engineering Services Limited,MITCON
Mittal Life Style Limited,MITTAL
MM Forgings Limited,MMFL
MMP Industries Limited,MMP
MMTC Limited,MMTC
Modi Rubber Limited,MODIRUBBER
Mohini Health & Hygiene Limited,MHHL
Mohit Industries Limited,MOHITIND
Mohota Industries Limited,MOHOTAIND
MOIL Limited,MOIL
Moksh Ornaments Limited,MOKSH
Mold-Tek Packaging Limited,MOLDTKPAC
Mold-Tek Technologies Limited,MOLDTECH
Monnet Ispat & Energy Limited,AIONJSW
Monte Carlo Fashions Limited,MONTECARLO
Morarjee Textiles Limited,MORARJEE
Morepen Laboratories Limited,MOREPENLAB
Motherson Sumi Systems Limited,MOTHERSUMI
Motilal Oswal Financial Services Limited,MOTILALOFS
MphasiS Limited,MPHASIS
MPS Limited,MPSLTD
MRF Limited,MRF
MRO-TEK Realty Limited,MRO-TEK
MSP Steel & Power Limited,MSPL
MSTC Limited,MSTCLTD
MT Educare Limited,MTEDUCARE
Mukand Engineers Limited,MUKANDENGG
Mukand Limited,MUKANDLTD
Mukta Arts Limited,MUKTAARTS
Munjal Auto Industries Limited,MUNJALAU
Munjal Showa Limited,MUNJALSHOW
Murudeshwar Ceramics Limited,MURUDCERA
Music Broadcast Limited,RADIOCITY
Muthoot Capital Services Limited,MUTHOOTCAP
Muthoot Finance Limited,MUTHOOTFIN
N R Agarwal Industries Limited,NRAIL
N. B. I. Industrial Finance Company Limited,NBIFIN
NACL Industries Limited,NACLIND
Naga Dhunseri Group Limited,NDGL
Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP
Nagreeka Exports Limited,NAGREEKEXP
Nahar Capital and Financial Services Limited,NAHARCAP
Nahar Industrial Enterprises Limited,NAHARINDUS
Nahar Poly Films Limited,NAHARPOLY
Nahar Spinning Mills Limited,NAHARSPING
Nalwa Sons Investments Limited,NSIL
Nandan Denim Limited,NDL
Nandani Creation Limited,NANDANI
Narayana Hrudayalaya Ltd.,NH
Narmada Agrobase Limited,NARMADA
Natco Pharma Limited,NATCOPHARM
Nath Bio-Genes (India) Limited,NATHBIOGEN
National Aluminium Company Limited,NATIONALUM
National Fertilizers Limited,NFL
National Steel And Agro Industries Limited,NATNLSTEEL
Nava Bharat Ventures Limited,NBVENTURES
Navin Fluorine International Limited,NAVINFLUOR
Navkar Corporation Limited,NAVKARCORP
Navneet Education Limited,NAVNETEDUL
NBCC (India) Limited,NBCC
NCC Limited,NCC
NCL Industries Limited,NCLIND
Nectar Lifesciences Limited,NECLIFE
Nelcast Limited,NELCAST
NELCO Limited,NELCO
Neogen Chemicals Limited,NEOGEN
Nesco Limited,NESCO
Network18 Media & Investments Limited,NETWORK18
Neueon Towers Limited,NTL
Neuland Laboratories Limited,NEULANDLAB
New Delhi Television Limited,NDTV
Newgen Software Technologies Limited,NEWGEN
Next Mediaworks Limited,NEXTMEDIA
NHPC Limited,NHPC
NIIT Limited,NIITLTD
Nila Infrastructures Limited,NILAINFRA
Nila Spaces Limited,NILASPACES
Nilkamal Limited,NILKAMAL
Nippon Life India Asset Management Limited,NAM-INDIA
Niraj Ispat Industries Limited,NIRAJISPAT
Nitco Limited,NITCO
Nitin Fire Protection Industries Limited,NITINFIRE
Nitin Spinners Limited,NITINSPIN
Nitiraj Engineers Limited,NITIRAJ
NK Industries Limited,NKIND
NLC India Limited,NLCINDIA
NMDC Limited,NMDC
NOCIL Limited,NOCIL
Noida Toll Bridge Company Limited,NOIDATOLL
Norben Tea & Exports Limited,NORBTEAEXP
North Eastern Carrying Corporation Limited,NECCLTD
NRB Bearing Limited,NRBBEARING
NRB Industrial Bearings Limited,NIBL
NTPC Limited,NTPC
Nucleus Software Exports Limited,NUCLEUS
NXTDigital Limited,NXTDIGITAL
Oberoi Realty Limited,OBEROIRLTY
OCL Iron and Steel Limited,OISL
Oil & Natural Gas Corporation Limited,ONGC
Oil Country Tubular Limited,OILCOUNTUB
Oil India Limited,OIL
Olectra Greentech Limited,OLECTRA
OM Metals Infraprojects Limited,OMMETALS
Omax Autos Limited,OMAXAUTO
Omaxe Limited,OMAXE
Omfurn India Limited,OMFURN
Omkar Speciality Chemicals Limited,OMKARCHEM
One Point One Solutions Limited,ONEPOINT
Onelife Capital Advisors Limited,ONELIFECAP
OnMobile Global Limited,ONMOBILE
Onward Technologies Limited,ONWARDTEC
Opal Luxury Time Products Limited,OPAL
Optiemus Infracom Limited,OPTIEMUS
Opto Circuits (India) Limited,OPTOCIRCUI
Oracle Financial Services Software Limited,OFSS
Orbit Exports Limited,ORBTEXP
Orchid Pharma Limited,ORCHIDPHAR
Oricon Enterprises Limited,ORICONENT
Orient Abrasives Limited,ORIENTABRA
Orient Bell Limited,ORIENTBELL
Orient Cement Limited,ORIENTCEM
Orient Electric Limited,ORIENTELEC
Orient Green Power Company Limited,GREENPOWER
Orient Paper & Industries Limited,ORIENTPPR
Orient Press Limited,ORIENTLTD
Orient Refractories Limited,ORIENTREF
Oriental Aromatics Limited,OAL
Oriental Carbon & Chemicals Limited,OCCL
Oriental Hotels Limited,ORIENTHOT
Oriental Trimex Limited,ORIENTALTL
Ortel Communications Limited,ORTEL
Ortin Laboratories Limited,ORTINLABSS
Osia Hyper Retail Limited,OSIAHYPER
Oswal Agro Mills Limited,OSWALAGRO
Oswal Chemicals & Fertilizers Limited,BINDALAGRO
PAE Limited,PAEL
Page Industries Limited,PAGEIND
Paisalo Digital Limited,PAISALO
Palash Securities Limited,PALASHSECU
Palred Technologies Limited,PALREDTEC
Panacea Biotec Limited,PANACEABIO
Panache Digilife Limited,PANACHE
Panama Petrochem Limited,PANAMAPET
Pansari Developers Limited,PANSARI
Par Drugs and Chemicals Limited,PAR
Parabolic Drugs Limited,PARABDRUGS
Parag Milk Foods Limited,PARAGMILK
Paramount Communications Limited,PARACABLES
Parin Furniture Limited,PARIN
Parsvnath Developers Limited,PARSVNATH
Pashupati Cotspin Limited,PASHUPATI
Patel Engineering Limited,PATELENG
Patel Integrated Logistics Limited,PATINTLOG
Patspin India Limited,PATSPINLTD
PC Jeweller Limited,PCJEWELLER
PDS Multinational Fashions Limited,PDSMFL
Pearl Global Industries Limited,PGIL
Pearl Polymers Limited,PEARLPOLY
Peninsula Land Limited,PENINLAND
Pennar Industries Limited,PENIND
Penta Gold Limited,PENTAGOLD
Perfect Infraengineers Limited,PERFECT
Persistent Systems Limited,PERSISTENT
Petronet LNG Limited,PETRONET
Pfizer Limited,PFIZER
PG Electroplast Limited,PGEL
Phillips Carbon Black Limited,PHILIPCARB
PI Industries Limited,PIIND
Pidilite Industries Limited,PIDILITIND
Pil Italica Lifestyle Limited,PILITA
Pilani Investment and Industries Corporation Limited,PILANIINVS
Pioneer Distilleries Limited,PIONDIST
Pioneer Embroideries Limited,PIONEEREMB
Piramal Enterprises Limited,PEL
Pitti Engineering Limited,PITTIENG
Plastiblends India Limited,PLASTIBLEN
PNB Gilts Limited,PNBGILTS
PNB Housing Finance Limited,PNBHOUSING
PNC Infratech Limited,PNCINFRA
Poddar Housing and Development Limited,PODDARHOUS
Poddar Pigments Limited,PODDARMENT
Pokarna Limited,POKARNA
Poly Medicure Limited,POLYMED
Polycab India Limited,POLYCAB
Polyplex Corporation Limited,POLYPLEX
Ponni Sugars (Erode) Limited,PONNIERODE
Power & Instrumentation (Gujarat) Limited,PIGL
Power Finance Corporation Limited,PFC
Power Grid Corporation of India Limited,POWERGRID
Power Mech Projects Limited,POWERMECH
Powerful Technologies Limited,POWERFUL
PPAP Automotive Limited,PPAP
Prabhat Dairy Limited,PRABHAT
Pradip Overseas Limited,PRADIP
Praj Industries Limited,PRAJIND
Prajay Engineers Syndicate Limited,PRAENG
Prakash Industries Limited,PRAKASH
Prakash Pipes Limited,PPL
Prakash Steelage Limited,PRAKASHSTL
Prataap Snacks Limited,DIAMONDYD
Praxis Home Retail Limited,PRAXIS
Precision Camshafts Limited,PRECAM
Precision Wires India Limited,PRECWIRE
Precot Meridian Limited,PRECOT
Premier Explosives Limited,PREMEXPLN
Premier Limited,PREMIER
Premier Polyfilm Limited,PREMIERPOL
Pressman Advertising Limited,PRESSMN
Prestige Estates Projects Limited,PRESTIGE
Pricol Limited,PRICOLLTD
Prime Focus Limited,PFOCUS
Prime Securities Limited,PRIMESECU
Prince Pipes And Fittings Limited,PRINCEPIPE
Prism Johnson Limited,PRSMJOHNSN
Priti International Limited,PRITI
Pritish Nandy Communications Limited,PNC
Procter & Gamble Health Limited,PGHL
Procter & Gamble Hygiene and Health Care Limited,PGHH
Prolife Industries Limited,PROLIFE
Proseed India Limited,PROSEED
Prozone Intu Properties Limited,PROZONINTU
PSL Limited,PSL
PSP Projects Limited,PSPPROJECT
PTC India Financial Services Limited,PFS
PTC India Limited,PTC
PTL Enterprises Limited,PTL
Pudumjee Paper Products Limited,PDMJEPAPER
Pulz Electronics Limited,PULZ
Punj Lloyd Limited,PUNJLLOYD
Punjab & Sind Bank,PSB
Punjab Chemicals & Crop Protection Limited,PUNJABCHEM
Punjab National Bank,PNB
Puravankara Limited,PURVA
